Fisher's Iris Data
1
4
1
Sample Number,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Classification
0=setosa   1=versicolor   2=virginica
1,-0.206481,0.185833,-0.399774,-0.416111,0
2,-0.262037,-0.0225,-0.399774,-0.416111,0
3,-0.317593,0.060833,-0.416723,-0.416111,0
4,-0.34537,0.019167,-0.382825,-0.416111,0
5,-0.234259,0.2275,-0.399774,-0.416111,0
6,-0.123148,0.3525,-0.348927,-0.332778,0
7,-0.34537,0.144167,-0.399774,-0.374444,0
8,-0.234259,0.144167,-0.382825,-0.416111,0
9,-0.400926,-0.064167,-0.399774,-0.416111,0
10,-0.262037,0.019167,-0.382825,-0.457778,0
11,-0.123148,0.269167,-0.382825,-0.416111,0
12,-0.289815,0.144167,-0.365876,-0.416111,0
13,-0.289815,-0.0225,-0.399774,-0.457778,0
14,-0.428704,-0.0225,-0.450621,-0.457778,0
15,-0.012037,0.394167,-0.433672,-0.416111,0
16,-0.039815,0.560833,-0.382825,-0.332778,0
17,-0.123148,0.3525,-0.416723,-0.332778,0
18,-0.206481,0.185833,-0.399774,-0.374444,0
19,-0.039815,0.310833,-0.348927,-0.374444,0
20,-0.206481,0.310833,-0.382825,-0.374444,0
21,-0.123148,0.144167,-0.348927,-0.416111,0
22,-0.206481,0.269167,-0.382825,-0.332778,0
23,-0.34537,0.2275,-0.467571,-0.416111,0
24,-0.206481,0.1025,-0.348927,-0.291111,0
25,-0.289815,0.144167,-0.315028,-0.416111,0
26,-0.234259,-0.0225,-0.365876,-0.416111,0
27,-0.234259,0.144167,-0.365876,-0.332778,0
28,-0.178704,0.185833,-0.382825,-0.416111,0
29,-0.178704,0.144167,-0.399774,-0.416111,0
30,-0.317593,0.060833,-0.365876,-0.416111,0
31,-0.289815,0.019167,-0.365876,-0.416111,0
32,-0.123148,0.144167,-0.382825,-0.332778,0
33,-0.178704,0.435833,-0.382825,-0.457778,0
34,-0.09537,0.4775,-0.399774,-0.416111,0
35,-0.262037,0.019167,-0.382825,-0.457778,0
36,-0.234259,0.060833,-0.433672,-0.416111,0
37,-0.09537,0.185833,-0.416723,-0.416111,0
38,-0.262037,0.019167,-0.382825,-0.457778,0
39,-0.400926,-0.0225,-0.416723,-0.416111,0
40,-0.206481,0.144167,-0.382825,-0.416111,0
41,-0.234259,0.185833,-0.416723,-0.374444,0
42,-0.373148,-0.314167,-0.416723,-0.374444,0
43,-0.400926,0.060833,-0.416723,-0.416111,0
44,-0.234259,0.185833,-0.365876,-0.249444,0
45,-0.206481,0.310833,-0.315028,-0.332778,0
46,-0.289815,-0.0225,-0.399774,-0.374444,0
47,-0.206481,0.310833,-0.365876,-0.416111,0
48,-0.34537,0.060833,-0.399774,-0.416111,0
49,-0.150926,0.269167,-0.382825,-0.416111,0
50,-0.234259,0.1025,-0.399774,-0.416111,0
51,0.321296,0.060833,0.159548,0.083889,1
52,0.15463,0.060833,0.12565,0.125556,1
53,0.293519,0.019167,0.193446,0.125556,1
54,-0.09537,-0.314167,0.040904,0.042222,1
55,0.182407,-0.105833,0.142599,0.125556,1
56,-0.039815,-0.105833,0.12565,0.042222,1
57,0.126852,0.1025,0.159548,0.167222,1
58,-0.262037,-0.2725,-0.07774,-0.082778,1
59,0.210185,-0.064167,0.142599,0.042222,1
60,-0.178704,-0.1475,0.023955,0.083889,1
61,-0.234259,-0.439167,-0.043842,-0.082778,1
62,0.015741,-0.0225,0.074802,0.125556,1
63,0.043519,-0.355833,0.040904,-0.082778,1
64,0.071296,-0.064167,0.159548,0.083889,1
65,-0.067593,-0.064167,-0.026893,0.042222,1
66,0.237963,0.019167,0.108701,0.083889,1
67,-0.067593,-0.0225,0.12565,0.125556,1
68,-0.012037,-0.1475,0.057853,-0.082778,1
69,0.099074,-0.355833,0.12565,0.125556,1
70,-0.067593,-0.230833,0.023955,-0.041111,1
71,0.015741,0.060833,0.176497,0.250556,1
72,0.071296,-0.105833,0.040904,0.042222,1
73,0.126852,-0.230833,0.193446,0.125556,1
74,0.071296,-0.105833,0.159548,0.000556,1
75,0.15463,-0.064167,0.091751,0.042222,1
76,0.210185,-0.0225,0.108701,0.083889,1
77,0.265741,-0.105833,0.176497,0.083889,1
78,0.237963,-0.0225,0.210395,0.208889,1
79,0.043519,-0.064167,0.12565,0.125556,1
80,-0.039815,-0.189167,-0.043842,-0.082778,1
81,-0.09537,-0.2725,0.007006,-0.041111,1
82,-0.09537,-0.2725,-0.009944,-0.082778,1
83,-0.012037,-0.1475,0.023955,0.000556,1
84,0.043519,-0.1475,0.227345,0.167222,1
85,-0.123148,-0.0225,0.12565,0.125556,1
86,0.043519,0.144167,0.12565,0.167222,1
87,0.237963,0.019167,0.159548,0.125556,1
88,0.126852,-0.314167,0.108701,0.042222,1
89,-0.067593,-0.0225,0.057853,0.042222,1
90,-0.09537,-0.230833,0.040904,0.042222,1
91,-0.09537,-0.189167,0.108701,0.000556,1
92,0.071296,-0.0225,0.142599,0.083889,1
93,-0.012037,-0.189167,0.040904,0.000556,1
94,-0.234259,-0.314167,-0.07774,-0.082778,1
95,-0.067593,-0.1475,0.074802,0.042222,1
96,-0.039815,-0.0225,0.074802,0.000556,1
97,-0.039815,-0.064167,0.074802,0.042222,1
