,avg_price_dif,features
1544,30.7627,['bedrooms' 'bathrooms' 'sqft_living' 'floors' 'view' 'yr_built']
1790,30.8935,['bedrooms' 'sqft_living' 'floors' 'view' 'condition' 'yr_built']
1776,30.9059,['bedrooms' 'sqft_living' 'floors' 'waterfront' 'view' 'yr_built']
1726,30.9078,['bedrooms' 'sqft_living' 'sqft_lot' 'floors' 'view' 'yr_built']
1797,30.9753,['bedrooms' 'sqft_living' 'floors' 'view' 'yr_built' 'yr_renovated']
1939,30.9784,['bedrooms' 'floors' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
872,30.9815,['bedrooms' 'sqft_living' 'floors' 'view' 'yr_built']
1795,30.993,['bedrooms' 'sqft_living' 'floors' 'view' 'sqft_basement' 'yr_built']
1793,30.9953,['bedrooms' 'sqft_living' 'floors' 'view' 'sqft_above' 'yr_built']
1539,31.0161,['bedrooms' 'bathrooms' 'sqft_living' 'floors' 'waterfront' 'yr_built']
1708,31.0849,['bedrooms' 'bathrooms' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
1576,31.0986,['bedrooms' 'bathrooms' 'sqft_living' 'view' 'sqft_above' 'yr_built']
1578,31.1017,['bedrooms' 'bathrooms' 'sqft_living' 'view' 'sqft_basement' 'yr_built']
1523,31.102,['bedrooms' 'bathrooms' 'sqft_living' 'sqft_lot' 'view' 'yr_built']
1559,31.1128,['bedrooms' 'bathrooms' 'sqft_living' 'waterfront' 'view' 'yr_built']
1548,31.1258,['bedrooms' 'bathrooms' 'sqft_living' 'floors' 'condition' 'yr_built']
1512,31.155,['bedrooms' 'bathrooms' 'sqft_living' 'sqft_lot' 'floors' 'yr_built']
1573,31.1723,['bedrooms' 'bathrooms' 'sqft_living' 'view' 'condition' 'yr_built']
1580,31.1877,['bedrooms' 'bathrooms' 'sqft_living' 'view' 'yr_built' 'yr_renovated']
1678,31.1908,['bedrooms' 'bathrooms' 'floors' 'sqft_above' 'sqft_basement' 'yr_built']
1780,31.1955,['bedrooms' 'sqft_living' 'floors' 'waterfront' 'condition' 'yr_built']
1721,31.1962,['bedrooms' 'sqft_living' 'sqft_lot' 'floors' 'waterfront' 'yr_built']
739,31.1977,['bedrooms' 'bathrooms' 'sqft_living' 'view' 'yr_built']
1553,31.2054,['bedrooms' 'bathrooms' 'sqft_living' 'floors' 'sqft_basement' 'yr_built']
1551,31.2071,['bedrooms' 'bathrooms' 'sqft_living' 'floors' 'sqft_above' 'yr_built']
1555,31.2105,['bedrooms' 'bathrooms' 'sqft_living' 'floors' 'yr_built' 'yr_renovated']
728,31.2106,['bedrooms' 'bathrooms' 'sqft_living' 'floors' 'yr_built']
1929,31.2356,['bedrooms' 'floors' 'waterfront' 'sqft_above' 'sqft_basement' 'yr_built']
1785,31.2495,['bedrooms' 'sqft_living' 'floors' 'waterfront' 'sqft_basement' 'yr_built']
1783,31.2527,['bedrooms' 'sqft_living' 'floors' 'waterfront' 'sqft_above' 'yr_built']
